title,control_title,category,priority
Security,At least one trail should be enabled with security best practices,AWS Well-Architected Framework,p1
Security,AWS Redshift audit logging should be enabled,AWS Well-Architected Framework,p1
Security,ES domains should be in a VPC,AWS Well-Architected Framework,p1
Security,OpenSearch domains should be in a VPC,AWS Well-Architected Framework,p1
Security,EC2 instances should be in a VPC,AWS Well-Architected Framework,p1
Security,Lambda functions should be in a VPC,AWS Well-Architected Framework,p1
Security,AWS Redshift enhanced VPC routing should be enabled,AWS Well-Architected Framework,p1
Security,ELB application load balancers should have Web Application Firewall (WAF) enabled,AWS Well-Architected Framework,p1
Security,API Gateway stage should be associated with waf,AWS Well-Architected Framework,p1
Security,CloudFront distributions should have AWS WAF enabled,AWS Well-Architected Framework,p1
Security,EKS clusters endpoint should restrict public access,AWS Well-Architected Framework,p1
Security,SageMaker models should have network isolation enabled,AWS Well-Architected Framework,p1
Security,SageMaker models should be in a VPC,AWS Well-Architected Framework,p1
Security,SageMaker notebook instances should be in a VPC,AWS Well-Architected Framework,p1
Security,SageMaker training jobs should have network isolation enabled,AWS Well-Architected Framework,p1
Security,SageMaker training jobs should be in VPC,AWS Well-Architected Framework,p1
Security,DMS replication instances should not be publicly accessible,AWS Well-Architected Framework,p1
Security,EBS snapshots should not be publicly restorable,AWS Well-Architected Framework,p1
Security,EC2 instances should not use multiple ENIs,AWS Well-Architected Framework,p1
Security,SageMaker notebook instances should not have direct internet access,AWS Well-Architected Framework,p1
Security,VPC subnet auto assign public IP should be disabled,AWS Well-Architected Framework,p1
Security,VPC default security group should not allow inbound and outbound traffic,AWS Well-Architected Framework,p1
Security,API Gateway stages should have authorizers configured,AWS Well-Architected Framework,p1
Security,S3 buckets access control lists (ACLs) should not be used to manage user access to buckets,AWS Well-Architected Framework,p1
Security,DMS replication instances should not be publicly accessible,AWS Well-Architected Framework,p1
Security,Auto Scaling launch config public IP should be disabled,AWS Well-Architected Framework,p1
Security,Network ACLs should not allow ingress from 0.0.0.0/0 to port 22 or port 3389,AWS Well-Architected Framework,p1
Security,5.2 Ensure no security groups allow ingress from 0.0.0.0/0 to remote server administration ports,AWS Well-Architected Framework,p1
Security,VPC security groups should restrict ingress TCP and UDP access from 0.0.0.0/0,AWS Well-Architected Framework,p1
Security,VPC security groups should restrict ingress Kafka port access from 0.0.0.0/0,AWS Well-Architected Framework,p1
Security,Security groups should not allow unrestricted access to ports with high risk,AWS Well-Architected Framework,p1
Security,VPC security groups should restrict ingress redis access from 0.0.0.0/0,AWS Well-Architected Framework,p1
Security,WAF global web ACL should have at least one rule or rule group,AWS Well-Architected Framework,p1
Security,VPC default security group should not allow inbound and outbound traffic,AWS Well-Architected Framework,p1
Security,EC2 instances should not be attached to 'launch wizard' security groups,AWS Well-Architected Framework,p1
Security,Route53 domains privacy protection should be enabled,AWS Well-Architected Framework,p1
Security,Route 53 domains should have transfer lock enabled,AWS Well-Architected Framework,p1
Security,GuardDuty should be enabled,AWS Well-Architected Framework,p1
Security,API Gateway stages should have authorizers configured,AWS Well-Architected Framework,p1
Security,RDS DB instance automatic minor version upgrade should be enabled,AWS Well-Architected Framework,p1
Security,CloudTrail trail log file validation should be enabled,AWS Well-Architected Framework,p1
Security,At least one trail should be enabled with security best practices,AWS Well-Architected Framework,p1
Security,EC2 instances should use IMDSv2,AWS Well-Architected Framework,p1
Security,Public EC2 instances should have IAM profile attached,AWS Well-Architected Framework,p1
Security,SSM managed instance patching should be compliant,AWS Well-Architected Framework,p1
Security,Lambda functions should be in a VPC,AWS Well-Architected Framework,p1
Security,ECS clusters should have container insights enabled,AWS Well-Architected Framework,p1
Security,ECS fargate services should run on the latest fargate platform version,AWS Well-Architected Framework,p1
Security,AWS Redshift should have required maintenance settings,AWS Well-Architected Framework,p1
Security,EC2 instances should not use multiple ENIs,AWS Well-Architected Framework,p1
Security,EC2 instances should have IAM profile attached,AWS Well-Architected Framework,p1
Security,EC2 instances should be managed by AWS Systems Manager,AWS Well-Architected Framework,p1
Security,EC2 instances should not use multiple ENIs,AWS Well-Architected Framework,p1
Security,EC2 stopped instances should be removed in 30 days,AWS Well-Architected Framework,p1
Security,EC2 instances should have IAM profile attached,AWS Well-Architected Framework,p1
Security,EC2 instances should be managed by AWS Systems Manager,AWS Well-Architected Framework,p1
Security,EC2 instances should not use multiple ENIs,AWS Well-Architected Framework,p1
Security,EC2 stopped instances should be removed in 30 days,AWS Well-Architected Framework,p1
Security,EBS volumes should be attached to EC2 instances,AWS Well-Architected Framework,p1
Security,SSM managed instance patching should be compliant,AWS Well-Architected Framework,p1
Security,CloudTrail trail log file validation should be enabled,AWS Well-Architected Framework,p1
Security,API Gateway stage cache encryption at rest should be enabled,AWS Well-Architected Framework,p1
Security,Backup recovery points should be encrypted,AWS Well-Architected Framework,p1
Security,CodeBuild project artifact encryption should be enabled,AWS Well-Architected Framework,p1
Security,CodeBuild project S3 logs should be encrypted,AWS Well-Architected Framework,p1
Security,KMS keys should not be pending deletion,AWS Well-Architected Framework,p1
Security,BP02 Enforce encryption at rest,AWS Well-Architected Framework,p1
Security,EFS file system encryption at rest should be enabled,AWS Well-Architected Framework,p1
Security,ES domain encryption at rest should be enabled,AWS Well-Architected Framework,p1
Security,OpenSearch domains should have encryption at rest enabled,AWS Well-Architected Framework,p1
Security,RDS DB instance encryption at rest should be enabled,AWS Well-Architected Framework,p1
Security,RDS DB snapshots should be encrypted at rest,AWS Well-Architected Framework,p1
Security,CloudTrail trail logs should be encrypted with KMS CMK,AWS Well-Architected Framework,p1
Security,DynamoDB table should have encryption enabled,AWS Well-Architected Framework,p1
Security,EBS default encryption should be enabled,AWS Well-Architected Framework,p1
Security,EKS clusters should be configured to have kubernetes secrets encrypted using KMS,AWS Well-Architected Framework,p1
Security,Glue dev endpoints CloudWatch logs encryption should be enabled,AWS Well-Architected Framework,p1
Security,Glue dev endpoints job bookmark encryption should be enabled,AWS Well-Architected Framework,p1
Security,Glue dev endpoints S3 encryption should be enabled,AWS Well-Architected Framework,p1
Security,Glue jobs S3 encryption should be enabled,AWS Well-Architected Framework,p1
Security,Glue jobs bookmarks encryption should be enabled,AWS Well-Architected Framework,p1
Security,Glue jobs CloudWatch logs encryption should be enabled,AWS Well-Architected Framework,p1
Security,SageMaker notebook instances should be encrypted using CMK,AWS Well-Architected Framework,p1
Security,SageMaker training jobs should be enabled with inter-container traffic encryption,AWS Well-Architected Framework,p1
Security,SageMaker training jobs volumes and outputs should have KMS encryption enabled,AWS Well-Architected Framework,p1
Security,AWS Redshift audit logging should be enabled,AWS Well-Architected Framework,p1
Security,AWS Redshift clusters should be encrypted with KMS,AWS Well-Architected Framework,p1
Security,S3 bucket default encryption should be enabled,AWS Well-Architected Framework,p1
Security,SageMaker endpoint configuration encryption should be enabled,AWS Well-Architected Framework,p1
Security,SageMaker notebook instance encryption should be enabled,AWS Well-Architected Framework,p1
Security,SageMaker notebook instances should be encrypted using CMK,AWS Well-Architected Framework,p1
Security,SNS topics should be encrypted at rest,AWS Well-Architected Framework,p1
Security,S3 bucket versioning should be enabled,AWS Well-Architected Framework,p1
Security,AWS account should be part of AWS Organizations,AWS Well-Architected Framework,p1
Security,ACM certificates should not expire within 30 days,AWS Well-Architected Framework,p1
Security,ELB classic load balancers should use SSL certificates,AWS Well-Architected Framework,p1
Security,ELB application and network load balancers should only use SSL or HTTPS listeners,AWS Well-Architected Framework,p1
Security,ELB application load balancers should be drop HTTP headers,AWS Well-Architected Framework,p1
Security,ELB application load balancers should redirect HTTP requests to HTTPS,AWS Well-Architected Framework,p1
Security,Elasticsearch domain node-to-node encryption should be enabled,AWS Well-Architected Framework,p1
Security,API Gateway stage should uses SSL certificate,AWS Well-Architected Framework,p1
Security,OpenSearch domains node-to-node encryption should be enabled,AWS Well-Architected Framework,p1
Security,OpenSearch domains should use HTTPS,AWS Well-Architected Framework,p1
Security,CloudFront distributions should encrypt traffic to custom origins,AWS Well-Architected Framework,p1
Security,CloudFront distributions should not use deprecated SSL protocols between edge locations and custom origins,AWS Well-Architected Framework,p1
Security,ELB listeners should use secure SSL cipher,AWS Well-Architected Framework,p1
Security,S3 buckets should enforce SSL,AWS Well-Architected Framework,p1
Security,Redshift cluster encryption in transit should be enabled,AWS Well-Architected Framework,p1
Security,ELB classic load balancers should only use SSL or HTTPS listeners,AWS Well-Architected Framework,p1
Security,Ensure a support role has been created to manage incidents with AWS Support,AWS Well-Architected Framework,p1
Security,ECR repositories should have image scan on push enabled,AWS Well-Architected Framework,p1
Security Hub,AWS Security Hub should be enabled for an AWS Account,Compliance,p1
SNS,SNS topics should be encrypted at rest,Compliance,p1
SNS,SNS topic policies should prohibit cross account access,Compliance,p1
SNS,SNS topic policies should prohibit public access,Compliance,p1
SNS,SNS topic policies should prohibit subscription public access,Compliance,p1
SSM,EC2 instances should be managed by AWS Systems Manager,Compliance,p1
SSM,SSM documents should not be public,Compliance,p1
SSM,SSM managed instance patching should be compliant,Compliance,p1
Step Functions,Step Functions state machines should have logging turned on,Compliance,p1
VPC,VPC default security group should not allow inbound and outbound traffic,Compliance,p1
VPC,Network ACLs should not allow ingress from 0.0.0.0/0 to port 22 or port 3389,Compliance,p1
VPC,VPC security groups should restrict ingress from 0.0.0.0/0 or ::/0 to cassandra ports 7199 or 9160 or 8888,Compliance,p1
VPC,VPC security groups should restrict ingress from 0.0.0.0/0 or ::/0 to memcached port 11211,Compliance,p1
VPC,VPC security groups should restrict ingress from 0.0.0.0/0 or ::/0 to mongoDB ports 27017 and 27018,Compliance,p1
VPC,VPC security groups should restrict ingress from 0.0.0.0/0 or ::/0 to oracle ports 1521 or 2483,Compliance,p1
VPC,Ensure no security groups allow ingress from 0.0.0.0/0 to remote server administration ports,Compliance,p1
VPC,Ensure no security groups allow ingress from ::/0 to remote server administration ports,Compliance,p1
VPC,Ensure no security groups allow ingress from 0.0.0.0/0 to remote server administration ports,Compliance,p1
VPC,VPC security groups should restrict ingress Kafka port access from 0.0.0.0/0,Compliance,p1
VPC,VPC security groups should restrict ingress kibana port access from 0.0.0.0/0,Compliance,p1
VPC,Ensure no security groups allow ingress from 0.0.0.0/0 to port 3389,Compliance,p1
VPC,VPC security groups should restrict ingress redis access from 0.0.0.0/0,Compliance,p1
VPC,VPC security groups should restrict ingress SSH access from 0.0.0.0/0,Compliance,p1
VPC,VPC security groups should restrict ingress TCP and UDP access from 0.0.0.0/0,Compliance,p1
VPC,Security groups should not allow unrestricted access to ports with high risk,Compliance,p1
VPC,VPC subnet auto assign public IP should be disabled,Compliance,p1
VPC,VPCs should have both public and private subnets configured,Compliance,p1
WAF,WAF web ACL logging should be enabled,Compliance,p1
WAF,WAF global web ACL should have at least one rule or rule group,Compliance,p1
WAFv2,Logging should be enabled on AWS WAFv2 regional and global web access control list (ACLs),Compliance,p1
